C:\Users\benpe\ClashBot\pipeline\model_v3.py:92: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc, layers)
{"e1_eval": "eval", "policy": "live", "port": 0, "tasks": 293, "already_done": 0, "grid": "lattice", "tau": 0.27, "noise_off": []}
[e1_eval] 1/293 080Y8QLUPRYR k=0 win 3-1 147.1s plays 23/23
[e1_eval] 2/293 00JYPQPRYCPP k=0 win 3-1 176.7s plays 31/39
[e1_eval] 3/293 02JY9G99CGPC k=0 loss 1-3 177.4s plays 31/31
[e1_eval] 4/293 00LYPLCVRCCV k=0 win 1-0 180.0s plays 34/34
[e1_eval] 5/293 00PYLLC9QJ0L k=0 win 2-0 180.0s plays 33/33
[e1_eval] 6/293 00UYPQ9ULVP2 k=0 win 1-0 180.0s plays 29/30
[e1_eval] 7/293 00VYPLPJRYRY k=0 win 1-0 180.0s plays 32/32
[e1_eval] 8/293 02GY9GY2U8UQ k=0 win 2-0 180.0s plays 34/34
[e1_eval] 9/293 02JY9GQYLVLV k=0 win 2-1 180.0s plays 35/35
[e1_eval] 10/293 02PP9CQ0Q2U2 k=0 win 1-0 180.0s plays 33/33
[e1_eval] 11/293 02RY9GC0U9RV k=0 win 1-0 180.0s plays 33/33
[e1_eval] 12/293 02RY9RVV8R29 k=0 loss 1-2 180.0s plays 30/30
[e1_eval] 13/293 02YYPUJ220L2 k=0 loss 1-2 180.0s plays 32/32
[e1_eval] 14/293 02YYPUV2GGCL k=0 win 1-0 180.0s plays 33/33
[e1_eval] 15/293 080Y8QLPCVVR k=0 win 1-0 180.0s plays 33/33
[e1_eval] 16/293 082Y8G9GG202 k=0 loss 0-1 180.0s plays 32/32
[e1_eval] 17/293 08PY88PJYJUR k=0 win 2-0 180.0s plays 34/34
[e1_eval] 18/293 08QPVCP8C0CP k=0 win 1-0 180.0s plays 30/30
[e1_eval] 19/293 08JPVCUVCQ00 k=0 loss 1-2 184.9s plays 33/33
[e1_eval] 20/293 02QY9Q9YY089 k=0 loss 1-2 197.4s plays 37/37
[e1_eval] 21/293 02YYPCRQ2QLY k=0 win 1-0 200.5s plays 40/40
[e1_eval] 22/293 08GPVRL99VUQ k=0 loss 0-1 206.3s plays 41/41
[e1_eval] 23/293 000YLY2VQ92P k=0 win 3-2 221.2s plays 44/44
[e1_eval] 24/293 08CPVJP99UY9 k=0 win 3-1 224.6s plays 48/53
[e1_eval] 25/293 00JYPGYLRP88 k=0 loss 0-1 243.1s plays 52/52
[e1_eval] 26/293 00LYPLY0GRQP k=0 win 2-1 244.7s plays 53/53
[e1_eval] 27/293 709bfb31833f438084784a06cab9be26 k=0 loss 0-3 78.1s plays 10/10
[e1_eval] 28/293 02YYPURYV2CL k=0 loss 1-3 271.8s plays 59/60
[e1_eval] 29/293 02QY9Q98C0J8 k=0 loss 1-1 300.0s plays 64/64
[e1_eval] 30/293 08JPVCQ0JCG2 k=0 loss 1-1 300.0s plays 64/64
[e1_eval] 31/293 08VPPUUJUP2C k=0 loss 1-2 194.1s plays 35/35
[e1_eval] 32/293 37beebc8bcdb4d4091482f7f54e27e6e k=0 win 3-0 170.9s plays 28/28
[e1_eval] 33/293 099P9CL9R9J0 k=0 loss 2-3 172.4s plays 30/30
[e1_eval] 34/293 092PY0Y9YC99 k=0 win 1-0 180.0s plays 34/35
[e1_eval] 35/293 099P9CJY9LYQ k=0 win 2-1 180.0s plays 33/33
[e1_eval] 36/293 099P9CVPLU0V k=0 win 1-0 180.0s plays 32/32
[e1_eval] 37/293 09G9JCQR8CRV k=0 win 2-1 180.0s plays 31/31
[e1_eval] 38/293 09LP9U9LLR2P k=0 win 1-0 180.0s plays 33/33
[e1_eval] 39/293 09PP9J908PYU k=0 win 1-0 180.0s plays 33/33
[e1_eval] 40/293 09R9JCJ8LQRU k=0 win 1-0 180.0s plays 33/34
[e1_eval] 41/293 18b06003f8394b0caf9d7467e2ab7cda k=0 win 2-0 180.0s plays 34/34
[e1_eval] 42/293 25d003faed8c441a8e6e23ad6f07bc0f k=0 win 2-1 180.0s plays 33/33
[e1_eval] 43/293 333ebb5673884328a477960a9ce4a14b k=0 win 1-0 180.0s plays 32/32
[e1_eval] 44/293 4341e84cef2446f0a6fc85a76bf5090d k=0 win 1-0 180.0s plays 31/31
[e1_eval] 45/293 5bdb5c3daeff466b9d970e6c13d70bbe k=0 win 1-0 180.0s plays 32/32
[e1_eval] 46/293 78e59386c8254e9187ce9d5aaf3bb73e k=0 win 1-0 180.0s plays 31/31
[e1_eval] 47/293 844db3de7006445c98a93e6153105872 k=0 win 1-0 180.0s plays 34/34
[e1_eval] 48/293 494f23d587744726a24dc85bfceb1834 k=0 win 2-1 203.1s plays 37/37
[e1_eval] 49/293 90ebd8e1802a4b87af2c8a54cc67b1e5 k=0 loss 0-1 180.0s plays 32/32
[e1_eval] 50/293 09R9JCJ8UU88 k=0 win 2-1 217.2s plays 43/44
[e1_eval] 51/293 93367126d7144d7885c74014a865e397 k=0 win 1-0 180.0s plays 32/35
[e1_eval] 52/293 a3674fb6151548f48a032f7e52f33336 k=0 win 1-0 180.0s plays 35/37
[e1_eval] 53/293 a4250541fc8a4eda93a7a733267dae71 k=0 win 1-0 180.0s plays 32/35
[e1_eval] 54/293 905c49c70d894c469147c067d9c6b546 k=0 win 3-1 236.7s plays 50/51
[e1_eval] 55/293 aceef0a5ff024470b4b6142ec6046200 k=0 win 3-1 201.4s plays 39/39
[e1_eval] 56/293 c75cc69c5ac84026a8dee5c2c2fc1e1a k=0 win 1-0 180.0s plays 30/30
[e1_eval] 57/293 c4d6628de619471c853064bf81572e1c k=0 win 2-1 221.9s plays 46/46
[e1_eval] 58/293 da49b77a85a845acb3bb9f5d5c182e9b k=0 win 2-1 180.7s plays 31/31
{"DONE": {"new_matches": 58, "finished": "2026-09-23 14:42:29", "engine": "royale", "skipped_unsupported": 235, "wall_s_mean": 35.2, "win": 43, "draw": 0, "loss": 15}}
